date,mdsetotal,numcust
3/13/2016,668,7444.2
3/14/2016,278,3025.57
3/15/2016,306,3707.57
3/16/2016,279,3332.98
3/17/2016,319,3778.72
3/18/2016,491,7275.3
3/19/2016,730,8547.39
3/20/2016,603,7132.56
3/21/2016,238,3069.16
3/22/2016,217,2559.14
3/23/2016,225,2833.68
3/24/2016,296,3555.61
3/25/2016,709,11675.84
3/26/2016,611,9637.13
3/27/2016,572,8305.23
3/28/2016,312,4609.31
3/29/2016,287,3353.76
3/30/2016,208,2587.19
3/31/2016,256,3060.49
4/1/2016,399,4962.04
4/2/2016,630,7528.96
4/3/2016,447,5309.43
4/4/2016,225,2794.39
4/5/2016,233,2773.65
4/6/2016,180,2662.61
4/7/2016,254,3202.37
4/8/2016,513,6156.48
4/9/2016,694,8441.28
4/10/2016,596,6748.12
4/11/2016,228,2691.87
4/12/2016,235,3054.36
4/13/2016,245,3274.1
4/14/2016,376,4408.38
4/15/2016,442,5353.48
4/16/2016,682,8377.45
4/17/2016,535,6373.68
4/18/2016,255,3164.77
4/19/2016,311,3361.75
4/20/2016,204,2417.65
4/21/2016,295,3700.79
4/22/2016,490,6242.77
4/23/2016,734,8774.64
4/24/2016,672,8245.36
4/25/2016,261,3141.3
4/26/2016,268,3224.37
4/27/2016,244,3125.26
4/28/2016,345,4161.96
4/29/2016,475,5765.04
4/30/2016,750,9423.78
5/1/2016,700,8617.06
5/2/2016,262,2996.71
5/3/2016,279,3224.53
5/4/2016,284,3450.62
5/5/2016,329,4308.12
5/6/2016,486,5792.73
5/7/2016,799,9748.85
5/8/2016,973,15824.47
5/9/2016,299,3656.57
5/10/2016,313,3630.42
5/11/2016,246,2775.81
5/12/2016,350,4382.97
5/13/2016,529,6734.44
5/14/2016,781,8941.92
5/15/2016,575,6927.69
5/16/2016,257,3108.22
5/17/2016,283,3087.48
5/18/2016,280,3592.83
5/19/2016,292,3477.47
5/20/2016,464,5745.61
5/21/2016,718,9730.14
5/22/2016,729,10254.45
5/23/2016,614,8233.41
5/24/2016,313,4075.63
5/25/2016,254,2972.11
5/26/2016,319,3670.36
5/27/2016,501,6070.9
5/28/2016,685,8542.54
5/29/2016,774,9414.05
5/30/2016,353,4361.06
5/31/2016,325,4157.28
6/1/2016,290,3353.44
6/2/2016,282,3604.12
6/3/2016,411,5580.23
6/4/2016,699,8717.75
6/5/2016,707,7973.41
6/6/2016,201,2533.73
6/7/2016,266,2948.97
6/8/2016,262,3102.96
6/9/2016,317,3809.95
6/10/2016,460,5575
6/11/2016,660,8057.85
6/12/2016,619,7112.08
6/13/2016,299,3465.56
6/14/2016,278,3559.05
6/15/2016,299,3519.1
6/16/2016,368,4183.07
6/17/2016,468,6214.29
6/18/2016,717,8917.35
6/19/2016,755,12432.56
6/20/2016,275,3703.46
6/21/2016,311,3708.46
6/22/2016,284,3385.67
6/23/2016,347,4151.9
6/24/2016,520,6564.89
6/25/2016,708,9033.72
6/26/2016,521,6655.72
6/27/2016,337,3961.68
6/28/2016,297,3561.41
6/29/2016,411,4522.75
6/30/2016,438,5556.6
7/1/2016,699,10895.53
7/2/2016,744,11746.72
7/3/2016,676,10727.95
7/4/2016,484,7133.95
7/5/2016,355,4297.2
7/6/2016,461,5490.7
7/7/2016,363,4421.04
7/8/2016,508,5924.44
7/9/2016,805,9864
7/10/2016,652,7796.77
7/11/2016,356,4155.59
7/12/2016,314,4026.36
7/13/2016,328,3918.54
7/14/2016,448,5416.17
7/15/2016,530,6534.56
7/16/2016,818,9843.99
7/17/2016,704,8769.93
7/18/2016,386,4322.09
7/19/2016,393,4766.25
7/20/2016,316,3690.99
7/21/2016,412,5085.38
7/22/2016,507,6196.95
7/23/2016,750,9000.72
7/24/2016,704,8514.29
7/25/2016,383,4432.48
7/26/2016,359,4381.75
7/27/2016,363,4349
7/28/2016,425,4877.59
7/29/2016,500,6203.32
7/30/2016,827,11616.6
7/31/2016,784,10523.54
8/1/2016,677,9441.64
8/2/2016,408,4796.66
8/3/2016,368,4209.73
8/4/2016,404,4572.83
8/5/2016,539,6617.6
8/6/2016,821,10003.88
8/7/2016,712,8571.43
8/8/2016,368,4140.98
8/9/2016,343,4261.36
8/10/2016,350,4115.25
8/11/2016,420,5421.97
8/12/2016,512,6040.95
8/13/2016,886,10651.9
8/14/2016,627,7366.35
8/15/2016,350,4419.32
8/16/2016,404,4714.54
8/17/2016,419,4952.36
8/18/2016,407,4511.29
8/19/2016,534,6326.95
8/20/2016,805,9798.39
8/21/2016,639,7622.14
8/22/2016,375,4279.03
8/23/2016,393,4745.45
8/24/2016,386,4361.87
8/25/2016,432,5093.6
8/26/2016,522,6404.4
8/27/2016,810,10143.26
8/28/2016,744,9001.31
8/29/2016,366,4237.26
8/30/2016,343,3978.12
8/31/2016,404,4463.16
9/1/2016,460,5423.6
9/2/2016,567,6832.41
9/3/2016,802,13298.91
9/4/2016,829,13026.76
9/5/2016,762,10459.01
9/6/2016,365,3785.99
9/7/2016,346,3892.87
9/8/2016,335,4000.42
9/9/2016,477,5816.43
9/10/2016,792,9291.71
9/11/2016,701,8270.05
9/12/2016,384,4142.31
9/13/2016,294,3265.64
9/14/2016,338,3938.45
9/15/2016,327,3839.86
9/16/2016,448,5064.78
9/17/2016,730,8492
9/18/2016,620,6988.65
9/19/2016,292,3123.77
9/20/2016,321,3599.16
9/21/2016,298,3649.7
9/22/2016,294,3554.01
9/23/2016,479,5553.95
9/24/2016,844,9709.04
9/25/2016,745,8834.62
9/26/2016,294,3347.2
9/27/2016,344,3837.02
9/28/2016,229,2493.33
9/29/2016,332,4000.33
9/30/2016,499,5787.23
10/1/2016,792,9623.26
10/2/2016,699,8529.21
10/3/2016,283,3222.92
10/4/2016,291,3172.58
10/5/2016,321,3752.47
10/6/2016,353,4651.95
10/7/2016,521,6542.87
10/8/2016,737,12021.97
10/9/2016,697,10974.34
10/10/2016,633,9649.44
10/11/2016,332,3734.65
10/12/2016,254,3021.66
10/13/2016,334,3938.36
10/14/2016,442,5437.46
10/15/2016,759,8718.86
10/16/2016,594,7002.12
10/17/2016,267,3104.04
10/18/2016,293,3287.51
10/19/2016,252,2880.55
10/20/2016,270,3207.71
10/21/2016,399,5002.45
10/22/2016,683,7688.39
10/23/2016,616,7196.04
10/24/2016,241,2801.96
10/25/2016,298,3498.14
10/26/2016,234,2553.63
10/27/2016,297,3818
10/28/2016,410,5078.11
10/29/2016,721,11397.77
10/30/2016,750,10204.85
10/31/2016,314,3757.84
11/1/2016,301,3519.41
11/2/2016,272,2798.62
11/3/2016,285,3455.2
11/4/2016,409,5085.32
11/5/2016,709,7748.01
11/6/2016,663,7639.16
11/7/2016,342,4079.53
11/8/2016,282,3458.25
11/9/2016,215,2708.04
11/10/2016,366,4117.79
11/11/2016,535,6524.27
11/12/2016,715,8551.9
11/13/2016,726,8373.37
11/14/2016,273,3089.82
11/15/2016,302,3476.98
11/16/2016,263,3128.05
11/17/2016,291,3455.13
11/18/2016,461,5741.72
11/19/2016,689,8060.02
11/20/2016,571,6546.21
11/21/2016,185,2294.78
11/22/2016,260,3054.16
11/23/2016,274,3213.34
11/24/2016,340,3982.54
11/25/2016,556,6459.49
11/26/2016,719,9053.75
11/27/2016,550,6338.23
11/28/2016,259,3136.19
11/29/2016,316,3854.98
11/30/2016,210,2450.36
12/1/2016,283,3200.35
12/2/2016,399,4537.13
12/3/2016,642,7496.71
12/4/2016,534,6198.53
